year,date,event,region,country,outcome,study
2015,10/07/2015,Heatwave,Europe,Europe,More severe or likely,https://www.worldweatherattribution.org/european-heat-wave-july-2015/
2015,24/07/2015,Drought,Africa,Ethiopia,Inconclusive,https://www.worldweatherattribution.org/ethiopia-drought-2015/
2015,10/09/2015,Drought,South America,Brazil,No evidence of change,https://www.worldweatherattribution.org/southeast-brazil-drought-2014-2015/
2015,01/12/2015,Extreme rainfall,Asia,India,No evidence of change,https://www.worldweatherattribution.org/chennai-floods-december-2015/
2015,16/12/2015,Extreme rainfall,Europe,United Kingdom,More severe or likely,https://www.worldweatherattribution.org/uks-storm-desmond-december-2015/
2016,18/03/2016,Heatwave,Australasia,Australia,More severe or likely,https://www.worldweatherattribution.org/great-barrier-reef-bleaching-march-2016/
2016,01/06/2016,Heatwave,Asia,India,No evidence of change,https://www.worldweatherattribution.org/india-heat-wave-2016/
2016,09/07/2016,Extreme rainfall,Europe,France & Germany,More severe or likely,https://www.worldweatherattribution.org/european-rainstorms-may-2016/
2016,14/08/2016,Extreme rainfall,North America,US,More severe or likely,https://www.worldweatherattribution.org/louisiana-downpours-august-2016/
2016,08/12/2016,Cold spell,North America,US,Less severe or likely,https://www.worldweatherattribution.org/u-s-deep-freeze-december-2016/
2016,21/12/2016,Heatwave,Arctic,,More severe or likely,https://www.worldweatherattribution.org/north-pole-nov-dec-2016/
2017,12/01/2017,Cold spell,Europe,"Montenegero, Serbia, Macedonia, Bulgaria, Italy, Greece, Turkey Romania",Less severe or likely,https://www.worldweatherattribution.org/se-europe-cold-january-2017/
2017,21/02/2017,Heatwave,Australasia,Australia,More severe or likely,https://www.worldweatherattribution.org/extreme-heat-australia-february-2017/
2017,08/03/2017,Heatwave,North America,US,More severe or likely,
2017,23/03/2017,Drought,Africa,Kenya,Impacts worsened by climate change,https://www.worldweatherattribution.org/kenya-drought-2016/
2017,30/03/2017,Drought,Africa,Somalia,Impacts worsened by climate change,https://www.worldweatherattribution.org/somalia-drought-2016-2017/
2017,29/06/2017,Heatwave,Europe,"Portugal, Spain, France, Switzerland, Belgium, Netherlands, England",More severe or likely,https://www.worldweatherattribution.org/european-heat-june-2017/
2017,31/08/2017,Extreme rainfall,North America,US,More severe or likely,https://www.worldweatherattribution.org/hurricane-harvey-august-2017/
2017,27/09/2017,Heatwave,Europe,"France, Switzerland, Belgium, the Netherlands, England, Portugal and Spain",More severe or likely,https://www.worldweatherattribution.org/euro-mediterranean-heat-summer-2017/
